"category","reason","user","exchange"
"Unmatched User","missing exchange","{""transaction_id"":""USR-014"",""timestamp"":""2024-03-07T14:00:00.000Z"",""type"":""SELL"",""asset"":""USDT"",""quantity"":200,""price_usd"":""1.00"",""fee"":""0.2"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-015"",""timestamp"":""2024-03-08T11:00:00.000Z"",""type"":""BUY"",""asset"":""ETHEREUM"",""quantity"":0.8,""price_usd"":""3480.00"",""fee"":""0.0008"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-001"",""timestamp"":""2024-03-01T09:00:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.5,""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""Monthly DCA""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-016"",""timestamp"":""2024-03-08T16:45:00.000Z"",""type"":""TRANSFER_IN"",""asset"":""SOL"",""quantity"":3,""price_usd"":"""",""fee"":""0.003"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-017"",""timestamp"":""2024-03-09T10:30:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.2,""price_usd"":""61500.00"",""fee"":""0.0002"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-020"",""timestamp"":""2024-03-10T13:00:00.000Z"",""type"":""SELL"",""asset"":""BITCOIN"",""quantity"":0.15,""price_usd"":""63000.00"",""fee"":""0.00015"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-021"",""timestamp"":""2024-03-11T09:00:00.000Z"",""type"":""BUY"",""asset"":""ETHEREUM"",""quantity"":1,""price_usd"":""3520.00"",""fee"":""0.001"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-022"",""timestamp"":""2024-03-11T15:20:00.000Z"",""type"":""BUY"",""asset"":""LINK"",""quantity"":50,""price_usd"":""18.00"",""fee"":""0.05"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-023"",""timestamp"":""2024-03-12T10:00:00.000Z"",""type"":""SELL"",""asset"":""MATIC"",""quantity"":100,""price_usd"":""0.97"",""fee"":""0.1"",""note"":""""}",
"Unmatched User","missing exchange","{""transaction_id"":""USR-025"",""timestamp"":""2024-03-13T09:15:00.000Z"",""type"":""BUY"",""asset"":""BITCOIN"",""quantity"":0.35,""price_usd"":""62200.00"",""fee"":""0.00035"",""note"":""""}",
